Region,Community,Population,Lat,Lon
Alaska,North Pole,2265,64.7511111,-147.3494444
Alaska,Northway,131,62.9616667,-141.9372222
Alaska,Northway Junction,64,63.0022222,-141.7772222
Alaska,Northway Village,92,62.9822222,-141.9516667
Alaska,Nuiqsut,345,70.2175,-150.9763889
Alaska,Nulato,285,64.7194444,-158.1030556
Alaska,Nunam Iqua,129,62.5336111,-164.8411111
Alaska,Nunapitchuk,554,60.8969444,-162.4594444
Alaska,Old Harbor,249,57.2027778,-153.3038889
Alaska,Oscarville,22,60.7227778,-161.77
Alaska,Ouzinkie,230,57.9236111,-152.5022222
Alaska,Palmer,6449,61.5997222,-149.1127778
Alaska,Paxson,38,63.0897222,-145.6130556
Alaska,Pedro Bay,12,59.7872222,-154.1061111
Alaska,Pelican,79,57.9608333,-136.2275
Alaska,Perryville,98,55.9139846,-159.1632767
Alaska,Petersburg,3024,56.8112667,-132.9512425
Alaska,Pilot Point,53,57.5641667,-157.5791667
Alaska,Pilot Station,582,61.9388889,-162.875
Alaska,Pitkas Point,136,62.0327778,-163.2877778
Alaska,Platinum,42,59.0130556,-161.8163889
Alaska,Pleasant Valley,168,64.8813889,-146.8686111
Alaska,Point Baker,41,56.3527778,-133.6211111
Alaska,Point Hope,562,68.3486111,-166.7347222
Alaska,Point Lay,285,69.743857,-163.008442
Alaska,Point MacKenzie,466,61.3597222,-149.9783333
Alaska,Port Alexander,31,56.2497222,-134.6444444
Alaska,Port Alsworth,147,60.2025,-154.3127778
Alaska,Port Clarence,40,65.2622222,-166.8458333
Alaska,Port Graham,206,59.3513889,-151.8297222
Alaska,Port Heiden,81,56.9325614,-158.6249699
Alaska,Port Lions,231,57.8675,-152.8822222
Alaska,Port Protection,82,56.3172222,-133.5980556
Alaska,Prudhoe Bay,2724,70.2552778,-148.3372222
Alaska,Quinhagak,661,59.7488889,-161.9158333
Alaska,Rampart,7,65.505,-150.17
Alaska,Red Devil,22,61.7611111,-157.3125
Alaska,Red Dog Mine,81,68.0755556,-162.8561111
Alaska,Ridgeway,2195,60.5319444,-151.0852778
Alaska,Ruby,202,64.7394444,-155.4869444
Alaska,Russian Mission,410,61.785,-161.3202778
Alaska,Salamatof,1110,60.615375,-151.3194369
Alaska,Sand Point,1188,55.3397222,-160.4972222
Alaska,Savoonga,883,63.6941667,-170.4788889
Alaska,Saxman,401,55.3183333,-131.5958333
Alaska,Scammon Bay,488,61.8427778,-165.5816667
Alaska,Selawik,794,66.6038889,-160.0069444
Alaska,Seldovia,243,59.4380556,-151.7113889
