Jurisdiction,Community,Type,Population
British Columbia,Valemount,VL,1052
British Columbia,Kaslo,VL,1049
British Columbia,Thompson-Nicola I (Blue Sky Country) 5,RDA,1038
British Columbia,Montrose,VL,1013
British Columbia,Skowkale,IRI,983
British Columbia,Cache Creek,VL,969
British Columbia,Fraser Lake,VL,965
British Columbia,Queen Charlotte 4,VL,964
Northwest Territories,Tuktoyaktuk,HAM,937
British Columbia,Bella Coola 1,IRI,937
British Columbia,Alberni-Clayoquot C,RDA,875
British Columbia,Fraser Valley B 5,RDA,869
British Columbia,Strathcona A,RDA,864
British Columbia,Hudson's Hope,DM,841
British Columbia,Masset,VL,838
British Columbia,Bulkley-Nechako G,RDA,836
British Columbia,Chemainus 13,IRI,818
British Columbia,Canal Flats,VL,802
British Columbia,Seabird Island,IRI,800
British Columbia,Sliammon 1,TAL,797
British Columbia,Mount Waddington C,RDA,764
British Columbia,Pouce Coupe,VL,762
British Columbia,Marktosis 15,IRI,760
Yukon,Marsh Lake,NO,746
British Columbia,Sechelt (Part) 5,IGD,744
British Columbia,Port Alice,VL,739
British Columbia,Thompson-Nicola N (Beautiful Nicola Valley - South),RDA,717
British Columbia,South Saanich 1,IRI,712
British Columbia,Greenwood,CY,702
British Columbia,Skidegate 1,IRI,697
British Columbia,Mount Waddington A 5,RDA,695
Yukon,Haines Junction,VL,688
British Columbia,Belcarra,VL,687
Northwest Territories,Norman Wells,T,673
British Columbia,Columbia-Shuswap B 5,RDA,663
British Columbia,Central Coast C,RDA,661
British Columbia,Midway,VL,651
Northwest Territories,Fort McPherson,HAM,647
British Columbia,Lax Kw'alaams 1,IRI,627
Northwest Territories,Fort Providence,HAM,618
British Columbia,Cariboo J,RDA,616
British Columbia,New Hazelton,DM,602
British Columbia,Tsahaheh 1,IRI,596
Yukon,Carmacks,VL,588
British Columbia,McBride,VL,588
British Columbia,North Coast D 5,RDA,580
British Columbia,Kispiox 1,IRI,578
Northwest Territories,Déline,CC,573
British Columbia,Mission 1,IRI,570
British Columbia,Clinton,VL,568
British Columbia,Gitanmaax 1,IRI,560
British Columbia,Woyenne 27,IRI,548
Northwest Territories,Whatì,CG,543
Northwest Territories,Aklavik,HAM,536
British Columbia,Fraser-Fort George E,RDA,533
British Columbia,Alberni-Clayoquot B,RDA,531
British Columbia,Nak'azdli,IRI,528
Yukon,Ibex Valley,HAM,523
British Columbia,Stewart,DM,517
British Columbia,Penelakut Island 7,IRI,513
British Columbia,Nicola Mameet 1,IRI,513
Northwest Territories,Fort Good Hope,CC,507
British Columbia,Kitamaat 2,IRI,507
British Columbia,Campbell River 11,IRI,506
British Columbia,Chehalis 5,IRI,500
British Columbia,qathet E,RDA,498
British Columbia,Fraser Valley A,RDA,495
British Columbia,New Denver,VL,487
British Columbia,Iskut 6,IRI,478
British Columbia,Masset 1,IRI,475
British Columbia,Port Edward,DM,470
Yukon,Mt. Lorne,HAM,468
Northwest Territories,Fort Liard,HAM,468
British Columbia,Matsqui 4,IRI,456
British Columbia,Tsulquate 4,IRI,451
British Columbia,Gitwangak 1,IRI,450
British Columbia,Alert Bay 4,VL,449
British Columbia,Cariboo K,RDA,447
British Columbia,Gitsegukla 1,IRI,444
Yukon,Faro,T,440
British Columbia,Enderby 2,IRI,440
British Columbia,Anahim's Flat 1,IRI,437
British Columbia,Stikine Region 5,RDA,424
British Columbia,Fort Nelson 2 5,IRI,419
Northwest Territories,Fort Resolution,HAM,412
Yukon,"Whitehorse, Unorganized",NO,411
Northwest Territories,Ulukhaktok,HAM,408
British Columbia,Gitanyow 1,IRI,408
British Columbia,Central Coast D,RDA,403
British Columbia,Tache 1,IRI,400
British Columbia,Juan de Fuca (Part 2) 5,RDA,399
Northwest Territories,Tulita,HAM,396
British Columbia,Tahsis,VL,393
British Columbia,Nanaimo Town 1,IRI,386
British Columbia,Alert Bay 5,IRI,382
British Columbia,Slocan 4,VL,379
British Columbia,Squamish-Lillooet B 5,RDA,373
