"Population and dwelling counts: Canada, provinces and territories, and census subdivisions (municipalities) 1"
"Frequency: Occasional"
"Table: 98-10-0002-02"
"Release date: 2022-02-09"
"Geography: Canada, Province or territory, Census division, Census subdivision"
"Universe: All persons, 2021 and 2016 censuses – 100% data"
"Variable List: Population and dwelling counts (13)"

,"Population and dwelling counts (13)","Population, 2021","Population, 2016","Population percentage change, 2016 to 2021","Total private dwellings, 2021","Total private dwellings, 2016","Total private dwellings percentage change, 2016 to 2021","Private dwellings occupied by usual residents, 2021","Private dwellings occupied by usual residents, 2016","Private dwellings occupied by usual residents percentage change, 2016 to 2021","Land area in square kilometres, 2021","Population density per square kilometre, 2021","National population rank, 2021","Province/territory population rank, 2021"
"Geographic name","Geographic area type abbreviation"
"Ingenika Point","S-É","0","234","-100.0","0","101","-100.0","0","77","-100.0","5.56","0.0","4,831","644"
"Mesilinka 7 5","IRI","0","0","...","0","0","...","0","0","...","4.27","0.0","4,831","644"
"Peace River B","RDA","5,379","5,628","-4.4","1,835","1,741","5.4","1,622","1,645","-1.4","85,959.79","0.1","698","92"
"Peace River C 5","RDA","5,947","6,667","-10.8","2,440","2,620","-6.9","2,273","2,431","-6.5","568.14","10.5","654","87"
"Peace River D","RDA","4,793","5,920","-19.0","2,044","2,450","-16.6","1,820","2,241","-18.8","11,688.01","0.4","759","105"
"Peace River E","RDA","2,660","2,949","-9.8","1,316","1,430","-8.0","1,088","1,199","-9.3","16,336.91","0.2","1,139","171"
"Pouce Coupe","VL","762","792","-3.8","345","368","-6.3","317","338","-6.2","2.06","370.3","2,424","292"
"Taylor","DM","1,317","1,469","-10.3","610","593","2.9","542","557","-2.7","16.92","77.8","1,799","256"
"Tumbler Ridge","DM","2,399","1,987","20.7","1,551","1,568","-1.1","1,093","861","26.9","1,557.41","1.5","1,225","181"
"West Moberly Lake 168A","IRI","99","140","-29.3","49","46","6.5","45","43","4.7","19.09","5.2","4,260","461"
"Powell River","CY","13,943","13,157","6.0","6,718","6,354","5.7","6,402","6,078","5.3","28.91","482.4","312","48"
"Sechelt (Part)","IGD","21","21","0.0","17","17","0.0","11","9","22.2","0.24","86.6","4,652","567"
"Sliammon 1","TAL","797","707","12.7","365","345","5.8","338","305","10.8","8.14","98.0","2,376","290"
"qathet A","RDA","1,250","1,105","13.1","1,418","1,593","-11.0","636","550","15.6","3,886.89","0.3","1,846","258"
"qathet B","RDA","1,664","1,541","8.0","908","851","6.7","758","694","9.2","128.61","12.9","1,560","226"
"qathet C","RDA","2,197","2,064","6.4","1,241","1,110","11.8","1,020","955","6.8","642.05","3.4","1,302","195"
"qathet D","RDA","1,126","1,076","4.6","748","723","3.5","598","581","2.9","299.75","3.8","1,971","268"
"qathet E","RDA","498","399","24.8","506","407","24.3","294","240","22.5","73.32","6.8","2,945","325"
"Dolphin Island 1","IRI","295","353","-16.4","158","143","10.5","106","112","-5.4","15.09","19.5","3,525","371"
"Kulkayu (Hartley Bay) 4","IRI","58","52","11.5","33","37","-10.8","17","15","13.3","1.14","51.0","4,465","510"
"Kulkayu (Hartley Bay) 4A 5","IRI","66","29","127.6","26","34","-23.5","21","6","250.0","0.51","129.6","4,423","499"
"Lax Kw'alaams 1","IRI","627","646","-2.9","316","290","9.0","216","220","-1.8","108.84","5.8","2,664","305"
"Masset","VL","838","793","5.7","518","464","11.6","399","367","8.7","20.69","40.5","2,320","285"
"Masset 1","IRI","475","555","-14.4","241","273","-11.7","195","220","-11.4","3.16","150.4","2,998","329"
"North Coast A","RDA","45","41","9.8","46","44","4.5","29","24","20.8","2,928.16","0.0","4,529","531"
"North Coast C 4","RDA","31","85","-63.5","72","74","-2.7","17","36","-52.8","6,484.78","0.0","4,590","548"
"North Coast D 5","RDA","580","468","23.9","327","273","19.8","254","200","27.0","6,418.04","0.1","2,750","310"
"North Coast E","RDA","325","340","-4.4","251","229","9.6","161","162","-0.6","3,408.85","0.1","3,432","361"
"Port Clements","VL","340","282","20.6","205","174","17.8","181","153","18.3","13.07","26.0","3,384","355"
"Port Edward","DM","470","467","0.6","207","219","-5.5","181","172","5.2","167.16","2.8","3,007","330"
"Prince Rupert","CY","12,300","12,220","0.7","5,747","5,677","1.2","5,072","4,930","2.9","66.00","186.4","351","52"
"Queen Charlotte 4","VL","964","884","9.0","574","515","11.5","488","411","18.7","35.58","27.1","2,155","279"
"S1/2 Tsimpsean 2 3","IRI","..","88","..","..","50","..","..","30","..","33.47","..","..",".."
"Skidegate 1","IRI","697","837","-16.7","331","382","-13.4","296","339","-12.7","5.12","136.0","2,532","299"
"Tlaa Gaa Aawtlaas 28 5","IRI","70","71","-1.4","30","48","-37.5","28","45","-37.8","0.64","109.3","4,408","498"
"Bridge River 1","IRI","242","241","0.4","95","91","4.4","93","90","3.3","39.02","6.2","3,715","390"
"Cayoosh Creek 1","IRI","66","66","0.0","39","43","-9.3","34","35","-2.9","1.58","41.9","4,423","499"
"Cheakamus 11","IRI","95","57","66.7","40","21","90.5","33","20","65.0","18.81","5.0","4,284","466"
"Chilhil 6","IRI","63","70","-10.0","31","30","3.3","31","28","10.7","2.54","24.8","4,443","504"
"Fountain 1","IRI","93","111","-16.2","42","48","-12.5","40","45","-11.1","1.38","67.5","4,292","468"
"Fountain 10","IRI","5","5","0.0","2","2","0.0","2","2","0.0","0.97","5.1","4,760","610"
"Fountain 11","IRI","0","0","...","1","1","0.0","1","1","0.0","0.22","0.0","4,831","644"
"Fountain 12","IRI","10","10","0.0","4","4","0.0","3","4","-25.0","0.30","33.7","4,722","592"
"Fountain 1B","IRI","63","73","-13.7","21","22","-4.5","20","20","0.0","0.85","74.0","4,443","504"
"Fountain 1D 5","IRI","25","5","400.0","5","3","66.7","5","3","66.7","0.25","99.4","4,629","564"
"Fountain 3","IRI","10","10","0.0","5","5","0.0","3","5","-40.0","2.84","3.5","4,722","592"
"Fountain 3A 5","IRI","0","0","...","0","3","-100.0","0","1","-100.0","0.23","0.0","4,831","644"
"Fountain Creek 8","IRI","0","0","...","2","2","0.0","2","2","0.0","0.23","0.0","4,831","644"
"Kowtain 17","IRI","59","35","68.6","15","12","25.0","15","10","50.0","0.24","245.0","4,462","509"
"Lillooet","DM","2,302","2,275","1.2","1,214","1,207","0.6","1,111","1,074","3.4","27.63","83.3","1,261","188"
"Lillooet 1","IRI","285","243","17.3","112","110","1.8","109","84","29.8","3.78","75.4","3,556","375"
"McCartney's Flat 4","IRI","24","26","-7.7","13","18","-27.8","13","13","0.0","1.81","13.2","4,645","565"
"Mission 5","IRI","19","23","-17.4","16","11","45.5","14","10","40.0","0.26","73.1","4,676","573"
"Mount Currie","IRI","1,242","1,285","-3.3","406","433","-6.2","393","414","-5.1","24.05","51.7","1,856","261"
"Necait 6","IRI","5","20","-75.0","10","9","11.1","7","8","-12.5","0.37","13.5","4,760","610"
"Nequatque 4","IRI","155","164","-5.5","70","72","-2.8","62","63","-1.6","1.97","78.8","4,033","429"
"Nesikep 6","IRI","5","10","-50.0","3","3","0.0","3","3","0.0","5.60","0.9","4,760","610"
"Nesuch 3","IRI","95","138","-31.2","37","53","-30.2","37","51","-27.5","4.74","20.0","4,284","466"
"Pashilqua 2","IRI","57","45","26.7","18","12","50.0","18","12","50.0","3.13","18.2","4,474","514"
"Pavilion 1","IRI","48","52","-7.7","31","23","34.8","28","22","27.3","9.42","5.1","4,521","528"
"Pemberton","VL","3,407","2,574","32.4","1,430","1,028","39.1","1,357","964","40.8","61.36","55.5","951","146"
"Seaichem 16","IRI","15","51","-70.6","10","29","-65.5","9","26","-65.4","0.03","524.5","4,694","580"
"Seton Lake 5","IRI","0","0","...","5","5","0.0","0","0","...","0.02","0.0","4,831","644"
"Slosh 1 5","IRI","215","152","41.4","101","80","26.3","89","66","34.8","7.00","30.7","3,810","405"
"Squamish 5","DM","23,819","19,497","22.2","9,906","7,569","30.9","9,191","7,255","26.7","104.71","227.5","186","32"
"Squamish-Lillooet A","RDA","305","187","63.1","498","538","-7.4","166","112","48.2","3,712.38","0.1","3,492","369"
"Squamish-Lillooet B 5","RDA","373","383","-2.6","275","323","-14.9","164","189","-13.2","3,463.88","0.1","3,265","349"
"Squamish-Lillooet C","RDA","2,000","1,663","20.3","1,122","964","16.4","815","655","24.4","5,513.22","0.4","1,380","204"
"Squamish-Lillooet D","RDA","1,057","1,057","0.0","578","589","-1.9","448","439","2.1","3,040.20","0.3","2,045","271"
"Stawamus 24","IRI","98","107","-8.4","31","29","6.9","30","27","11.1","0.26","381.6","4,264","462"
"Towinock 2","IRI","16","5","220.0","6","3","100.0","6","3","100.0","0.88","18.2","4,686","578"
"Waiwakum 14 5","IRI","224","175","28.0","58","51","13.7","52","49","6.1","0.17","1,303.8","3,773","399"
"Whistler 4","DM","13,982","11,746","19.0","10,065","9,386","7.2","5,597","4,454","25.7","240.00","58.3","310","47"
